	Gene name	Gene % GC content
ENSMUSG00000101345	Gm28195	47.58
ENSMUSG00000101346	Gm29505	45.04
ENSMUSG00000101347	Gm28219	43.53
ENSMUSG00000101348	Gm7135	38.4
ENSMUSG00000101349	Gm28162	45.04
ENSMUSG00000101350	Gm28962	41.09
ENSMUSG00000101351	Gm28573	45.53
ENSMUSG00000101352	Gm28665	44.18
ENSMUSG00000101353	Gm29203	40.09
ENSMUSG00000101354	Gm28973	45.02
ENSMUSG00000101355	H3c10	67.4
ENSMUSG00000101356	Gm28876	44.96
ENSMUSG00000101357	Gm2495	57.51
ENSMUSG00000101358	Gm29661	40.32
ENSMUSG00000101359	Gm28211	31.76
ENSMUSG00000101360	4933417O13Rik	48.3
ENSMUSG00000101361	Gm7358	46.25
ENSMUSG00000101362	Mrgprb9-ps	40.81
ENSMUSG00000101363	Gm29490	36.26
ENSMUSG00000101364	Gm29300	44.97
ENSMUSG00000101365	Gm19325	45.58
ENSMUSG00000101366	Gm28147	41.25
ENSMUSG00000101367	Gm29484	41.98
ENSMUSG00000101368	Gm28290	44.79
ENSMUSG00000101369	Gm28080	46.68
ENSMUSG00000101370	Gm29139	35.07
ENSMUSG00000101371	Gm9114	50.85
ENSMUSG00000101372	Gm19028	42.98
ENSMUSG00000101373	Zfp813-ps	33.0
ENSMUSG00000101374	Gm28844	40.33
ENSMUSG00000101375	Gm28383	46.04
ENSMUSG00000101376	Gm18291	39.53
ENSMUSG00000101377	Gm28336	45.41
ENSMUSG00000101378	Gm28086	48.17
ENSMUSG00000101379	Gm28092	50.95
ENSMUSG00000101380	Gm28769	44.07
ENSMUSG00000101381	Btbd35f16	38.89
ENSMUSG00000101382	Gm28213	45.37
ENSMUSG00000101383	Gm28843	35.29
ENSMUSG00000101385	Gm5261	48.95
ENSMUSG00000101386	Gm29346	46.75
ENSMUSG00000101387	Pced1c-ps	61.52
ENSMUSG00000101388	Gm28444	45.44
ENSMUSG00000101389	Ms4a4a	38.17
ENSMUSG00000101390	Gm29420	45.68
ENSMUSG00000101391	Olfr1217	36.07
ENSMUSG00000101392		
ENSMUSG00000101393	Gm29447	40.25
ENSMUSG00000101394	Gm28183	37.66
ENSMUSG00000101395	Gm8241	48.28
ENSMUSG00000101396	Gm28510	36.85
ENSMUSG00000101397	Mug-ps1	40.67
ENSMUSG00000101398	Gm2617	39.17
ENSMUSG00000101399	Gm28961	35.5
ENSMUSG00000101400	Gm29596	46.75
ENSMUSG00000101401	Scgb1b18	46.35
ENSMUSG00000101402	Gm28673	40.33
ENSMUSG00000101403	Gm20882	45.4
ENSMUSG00000101404	1700009C05Rik	42.73
ENSMUSG00000101405	Gm28758	45.31
ENSMUSG00000101406	Gm29200	47.24
ENSMUSG00000101407	Gm29532	40.8
ENSMUSG00000101408	Gm21155	45.31
ENSMUSG00000101409	1700122D07Rik	46.34
ENSMUSG00000101410	Gm28581	45.39
ENSMUSG00000101411	Gm28111	50.13
ENSMUSG00000101412	Gm28131	40.43
ENSMUSG00000101413	Gm29485	53.9
ENSMUSG00000101414	Gm29101	49.9
ENSMUSG00000101415	Gm28168	37.42
ENSMUSG00000101416	Gm29318	35.29
ENSMUSG00000101417	Gm21647	37.44
ENSMUSG00000101418	Gm28983	45.11
ENSMUSG00000101419	Gm29600	37.93
ENSMUSG00000101420	Gm21902	45.4
ENSMUSG00000101421	Gm28433	40.63
ENSMUSG00000101422	Gm29301	40.12
ENSMUSG00000101423	Gm28298	40.8
ENSMUSG00000101424	Gm28073	40.8
ENSMUSG00000101425	Gm29255	40.1
ENSMUSG00000101426	Gm20978	50.95
ENSMUSG00000101427	Gm6003	43.84
ENSMUSG00000101428	Gm29272	44.83
ENSMUSG00000101429	BC055402	44.86
ENSMUSG00000101431	Gm7901	57.86
ENSMUSG00000101433	Gm29441	50.24
ENSMUSG00000101434	Gm29211	35.58
ENSMUSG00000101435	Gm28772	45.47
ENSMUSG00000101436	Gm5157	44.57
ENSMUSG00000101437	Gm29454	51.15
ENSMUSG00000101438	Gm19412	59.73
ENSMUSG00000101439	Gm336	44.73
ENSMUSG00000101440	Gm29425	40.04
ENSMUSG00000101441	Gm29363	41.27
ENSMUSG00000101442	Gm28795	45.18
ENSMUSG00000101443	Rhoay-ps1	45.27
ENSMUSG00000101444	Gm29179	40.4
ENSMUSG00000101445	Gm28932	42.27
ENSMUSG00000101446	Gm21749	44.97
ENSMUSG00000101447	Gm28826	38.59
ENSMUSG00000101448	Gm28494	37.7
ENSMUSG00000101449	Gm17791	39.64
ENSMUSG00000101450	Gm28941	37.46
ENSMUSG00000101451	Gm29430	46.49
ENSMUSG00000101452	Gm28530	49.22
ENSMUSG00000101453	Gm28189	38.99
ENSMUSG00000101454	Gm1988	47.75
ENSMUSG00000101455	Gm21805	45.11
ENSMUSG00000101456	Gm29043	40.71
ENSMUSG00000101457	Gm18701	47.72
ENSMUSG00000101459	Gm19193	43.97
ENSMUSG00000101462	Gm3052	43.82
ENSMUSG00000101463	Gm28750	39.24
ENSMUSG00000101464	Gm7436	57.8
ENSMUSG00000101465	Gm29190	40.09
ENSMUSG00000101466	Gm29548	45.1
ENSMUSG00000101467	Gm28662	45.18
ENSMUSG00000101468	Gm7761	44.63
ENSMUSG00000101469	Gm29556	41.81
ENSMUSG00000101470	Gm21129	48.1
ENSMUSG00000101471	Gm29276	36.71
ENSMUSG00000101472	Gm28517	50.95
ENSMUSG00000101473	Gm20893	45.31
ENSMUSG00000101474	Gm29656	50.95
ENSMUSG00000101475	Gm21316	45.31
ENSMUSG00000101476	Gm29570	41.59
ENSMUSG00000101477	Gm18448	42.24
ENSMUSG00000101478	Gm20859	45.74
ENSMUSG00000101479	Gm28997	38.89
ENSMUSG00000101480	Olfr1220	38.57
ENSMUSG00000101481	1700123O21Rik	42.9
ENSMUSG00000101482	Gm28883	53.66
ENSMUSG00000101483	1700016L21Rik	39.07
ENSMUSG00000101484	Gm28798	45.33
ENSMUSG00000101485		
ENSMUSG00000101486	Gm4405	49.49
ENSMUSG00000101487	Scgb2b33	44.68
ENSMUSG00000101488		
ENSMUSG00000101489	Gm28090	35.59
ENSMUSG00000101490	Gm20927	45.26
ENSMUSG00000101491	Gm28632	40.25
ENSMUSG00000101492	Gm29089	31.95
ENSMUSG00000101493	2810405F17Rik	50.22
ENSMUSG00000101494	Gm21792	45.4
ENSMUSG00000101495	Gm28912	43.59
ENSMUSG00000101496	Gm8885	53.01
ENSMUSG00000101497	Gm29391	45.37
ENSMUSG00000101498	Gm2950	46.54
ENSMUSG00000101499	Vmn2r-ps139	40.19
ENSMUSG00000101500	Btbd35f12	38.68
ENSMUSG00000101501	Rps27a-ps1	44.49
ENSMUSG00000101502	Rpl7a-ps10	54.51
ENSMUSG00000101503	Gm28364	55.24
ENSMUSG00000101504	Gm28257	43.84
ENSMUSG00000101505	1700109G14Rik	46.19
ENSMUSG00000101506	Gm28385	47.26
ENSMUSG00000101507	Gm29457	40.15
ENSMUSG00000101508	Gm28832	40.43
ENSMUSG00000101509	Gm29641	44.4
ENSMUSG00000101510	Gm21573	45.88
ENSMUSG00000101511	Gm5681	49.12
ENSMUSG00000101512	Gm28135	40.09
ENSMUSG00000101513	Gm28853	39.9
ENSMUSG00000101514	Gm5524	33.98
ENSMUSG00000101515	Gm21899	45.11
ENSMUSG00000101516	Gm29074	40.44
ENSMUSG00000101517	4732465J04Rik	43.78
ENSMUSG00000101518	Gm20868	46.03
ENSMUSG00000101519	Ska2l-ps	41.11
ENSMUSG00000101520	Scgb1b12	47.27
ENSMUSG00000101521	Gm28393	40.39
ENSMUSG00000101522	Gm7837	49.76
ENSMUSG00000101523	Csnk2a1-ps3	44.97
ENSMUSG00000101525	Gm28593	45.69
ENSMUSG00000101526	Gm28622	42.79
ENSMUSG00000101527	Gm21908	45.11
ENSMUSG00000101528	Gm29110	35.49
ENSMUSG00000101529	Gm29636	45.38
ENSMUSG00000101530	Gm29259	43.08
ENSMUSG00000101531	Gm29672	40.14
ENSMUSG00000101532	Zbed4-ps1	48.07
ENSMUSG00000101533	Gm29393	39.94
ENSMUSG00000101534	Gm29306	45.2
ENSMUSG00000101535	Gm29383	52.92
ENSMUSG00000101536	Gm28834	41.2
ENSMUSG00000101537	Gm29571	42.01
ENSMUSG00000101538	Gm29029	45.11
ENSMUSG00000101539	Gm28252	40.22
ENSMUSG00000101540	Gm28465	42.21
ENSMUSG00000101541	Gm28554	50.95
ENSMUSG00000101542	Gm29303	40.02
ENSMUSG00000101543	Gm18352	41.91
ENSMUSG00000101544	Gm29422	43.23
ENSMUSG00000101545	Gm4373	48.74
ENSMUSG00000101546	Gm28747	45.17
ENSMUSG00000101547	Gm29252	45.28
ENSMUSG00000101548	Gm9220	48.57
ENSMUSG00000101549	Gm29630	45.75
ENSMUSG00000101550	Gm29385	53.44
ENSMUSG00000101551	Gm8870	52.39
ENSMUSG00000101552	Gm29118	40.32
ENSMUSG00000101553	1700049E22Rik	47.95
ENSMUSG00000101554	Scgb2b1	45.87
ENSMUSG00000101555	Gm28731	52.9
ENSMUSG00000101556		
ENSMUSG00000101557	Gm28314	47.54
ENSMUSG00000101558	Gm28647	43.15
ENSMUSG00000101559	Gm28258	40.41
ENSMUSG00000101560	Gm28127	40.63
ENSMUSG00000101562	Gm29144	42.77
ENSMUSG00000101563	Gm7364	49.77
ENSMUSG00000101564	Gm5703	49.31
ENSMUSG00000101565	1700003L19Rik	42.17
ENSMUSG00000101566	Gm28276	45.08
ENSMUSG00000101567	Txn-ps1	47.57
ENSMUSG00000101568	1700040F17Rik	41.84
ENSMUSG00000101569	Gm28254	45.32
ENSMUSG00000101570	Gm28233	38.98
ENSMUSG00000101571	Gm6187	48.88
ENSMUSG00000101573	Gm28361	44.09
ENSMUSG00000101574	1700112H15Rik	42.82
ENSMUSG00000101575	Gm20898	45.89
ENSMUSG00000101576	Gm20915	35.61
ENSMUSG00000101578	Vmn1r206	37.86
ENSMUSG00000101579	Gm21181	47.58
ENSMUSG00000101580	Gm28201	45.14
ENSMUSG00000101581	C430002N11Rik	45.29
ENSMUSG00000101582	Gm28828	43.53
ENSMUSG00000101583	Gm20753	43.83
ENSMUSG00000101584	4930519F24Rik	39.89
ENSMUSG00000101585	1600010M07Rik	42.06
ENSMUSG00000101586	Gm29017	44.19
ENSMUSG00000101587	Gm29036	38.77
ENSMUSG00000101588	Gm28265	52.74
ENSMUSG00000101589	Rbm6-ps1	44.29
ENSMUSG00000101590	Gm29104	36.7
ENSMUSG00000101592	Gm28689	50.76
ENSMUSG00000101593	Gm20842	45.69
ENSMUSG00000101594	Gm21779	45.11
ENSMUSG00000101595	Gm29395	45.38
ENSMUSG00000101596	Gm28182	51.15
ENSMUSG00000101597	Gm5621	50.78
ENSMUSG00000101598	Gm29449	45.51
ENSMUSG00000101599	Gm20342	43.43
ENSMUSG00000101600	4930599A14Rik	41.79
ENSMUSG00000101601	Gm28210	45.41
ENSMUSG00000101602	Gm28700	34.33
ENSMUSG00000101603	Gm28730	44.4
ENSMUSG00000101605	Ace3	50.52
ENSMUSG00000101606	Gm29051	36.29
ENSMUSG00000101607	Gm28939	40.63
ENSMUSG00000101608	Gm28652	36.42
ENSMUSG00000101609	Kcnq1ot1	40.31
ENSMUSG00000101610	Gm7560	48.91
ENSMUSG00000101611	Gm29357	44.7
ENSMUSG00000101612	Gm7933	44.57
ENSMUSG00000101613	Gm28516	43.93
ENSMUSG00000101614	Gm29547	39.94
ENSMUSG00000101615	Gm8495	55.91
ENSMUSG00000101616	Gm29047	37.96
ENSMUSG00000101617	Gm6947	52.56
ENSMUSG00000101618	Gm18443	48.56
ENSMUSG00000101619	Gm28436	45.27
ENSMUSG00000101621	Gm28905	39.36
ENSMUSG00000101622	Mrgpra18-ps	45.09
ENSMUSG00000101623	Gm21245	45.69
ENSMUSG00000101624	Gm28882	51.91
ENSMUSG00000101625	Gm29371	49.51
ENSMUSG00000101626	Gm29386	39.96
ENSMUSG00000101627	Gm28432	40.29
ENSMUSG00000101628	Gm28177	43.44
ENSMUSG00000101629	Gm29588	41.95
ENSMUSG00000101630	Gm29261	56.6
ENSMUSG00000101631	Gm20884	45.02
ENSMUSG00000101632	Gm28264	39.14
ENSMUSG00000101633	Gm29839	50.0
ENSMUSG00000101634	1700066B17Rik	47.12
ENSMUSG00000101636	4930579H20Rik	38.03
ENSMUSG00000101637	Gm28896	43.53
ENSMUSG00000101638	Scgb1b11	46.39
ENSMUSG00000101639	Gm8597	49.9
ENSMUSG00000101640	Gm28376	40.16
ENSMUSG00000101641	Gm29560	47.1
ENSMUSG00000101642	Gm29315	40.87
ENSMUSG00000101643	Gm28307	46.29
ENSMUSG00000101644	Gm28343	39.29
ENSMUSG00000101645	Gm28635	42.95
ENSMUSG00000101646	Gm28106	45.04
ENSMUSG00000101647	Gm29534	47.38
ENSMUSG00000101648	Gm29388	47.46
ENSMUSG00000101649	Gm29444	40.28
ENSMUSG00000101650	Gm6820	45.41
ENSMUSG00000101651	Gm28402	58.81
ENSMUSG00000101652	Gm6060	48.99
ENSMUSG00000101653	Gm20792	36.88
ENSMUSG00000101654	Gm29653	45.64
ENSMUSG00000101655	2310040G24Rik	46.93
ENSMUSG00000101656	Gm8004	49.43
ENSMUSG00000101657	Gm20864	45.69
ENSMUSG00000101658	Scgb1b28-ps	44.94
ENSMUSG00000101659	Gm29009	43.36
ENSMUSG00000101660	Gm18666	47.17
ENSMUSG00000101661	Gm28392	46.06
ENSMUSG00000101662	Gm28499	52.04
ENSMUSG00000101664	Mrgpra14	47.32
ENSMUSG00000101665	Gm21920	45.61
ENSMUSG00000101666	Rhoay-ps3	44.1
ENSMUSG00000101667	Gm29289	36.34
ENSMUSG00000101668	Gm29549	40.32
ENSMUSG00000101669	Gm28937	45.18
ENSMUSG00000101670	Gm21470	45.69
ENSMUSG00000101671	Gm28221	45.9
ENSMUSG00000101672	Gm28149	47.35
ENSMUSG00000101673	Gm28070	42.25
ENSMUSG00000101674	4930444A19Rik	41.04
ENSMUSG00000101675	Gm28461	50.95
ENSMUSG00000101676	Gm21832	45.44
ENSMUSG00000101677		
ENSMUSG00000101678	Gm29609	45.55
ENSMUSG00000101679	Gm20936	46.66
ENSMUSG00000101680	Gm29015	55.89
ENSMUSG00000101681	Gm28522	41.25
ENSMUSG00000101682	Gm29228	45.69
ENSMUSG00000101683	1700028D13Rik	51.73
ENSMUSG00000101684	Gm28946	45.55
ENSMUSG00000101685	Gm17837	41.02
ENSMUSG00000101686	Gm29633	40.16
ENSMUSG00000101687	Gm4854	43.9
ENSMUSG00000101688	Gm20841	45.83
ENSMUSG00000101689	Gm28599	44.96
ENSMUSG00000101690	Gm28390	43.71
ENSMUSG00000101691	Gm29280	45.2
ENSMUSG00000101692	Gm28244	39.17
ENSMUSG00000101693	Gm19461	51.35
ENSMUSG00000101694	Gm29392	45.24
ENSMUSG00000101695	1700094J05Rik	46.11
ENSMUSG00000101696		
ENSMUSG00000101698	Gm29562	47.12
ENSMUSG00000101699	Gm28508	45.55
ENSMUSG00000101700	Gm29359	44.63
ENSMUSG00000101701	4930521E06Rik	32.82
ENSMUSG00000101702	1700072G22Rik	42.6
ENSMUSG00000101703	Gm1982	48.75
ENSMUSG00000101704	Gm21878	44.97
ENSMUSG00000101705	Gm28380	49.27
ENSMUSG00000101706	Gm28431	45.32
ENSMUSG00000101707	Gm28916	43.63
ENSMUSG00000101708	Gm28453	41.71
ENSMUSG00000101709	Gm28337	35.3
ENSMUSG00000101710	Gm20922	45.69
ENSMUSG00000101711	Gm28306	48.51
ENSMUSG00000101712	Gm28648	37.99
ENSMUSG00000101713	Gm28668	40.09
ENSMUSG00000101714	Gm28415	51.22
ENSMUSG00000101715	Gm21855	45.55
ENSMUSG00000101716		
ENSMUSG00000101717	Gm45784	42.46
ENSMUSG00000101718	Gm20862	45.83
ENSMUSG00000101719	Gm28216	50.76
ENSMUSG00000101720	Gm29005	38.75
ENSMUSG00000101721	Gm8354	46.23
ENSMUSG00000101722	Gm29125	47.81
ENSMUSG00000101723	Gm28355	38.99
ENSMUSG00000101724	Gm29453	39.56
ENSMUSG00000101725	Gm29423	40.29
ENSMUSG00000101726	Gm7858	45.5
ENSMUSG00000101727	Gm29495	35.59
ENSMUSG00000101728	Gm28765	41.25
ENSMUSG00000101729	Gm17796	54.58
ENSMUSG00000101730	Gm28580	51.14
ENSMUSG00000101731	3830432H09Rik	49.15
ENSMUSG00000101732	Gm28328	38.53
ENSMUSG00000101733	Gm29189	45.04
ENSMUSG00000101734	4933400C23Rik	39.56
ENSMUSG00000101735	Gm18505	42.66
ENSMUSG00000101736	Gm29335	52.51
ENSMUSG00000101737	Gm28849	38.3
ENSMUSG00000101738		
ENSMUSG00000101739	Gm5733	47.18
ENSMUSG00000101740	Gm29360	41.32
ENSMUSG00000101741	Gm28055	41.41
ENSMUSG00000101742	Gm21380	45.98
ENSMUSG00000101743	Gm28249	40.11
ENSMUSG00000101744	Gm28325	40.82
ENSMUSG00000101745	Gm28764	40.36
ENSMUSG00000101746	2310043L19Rik	48.36
ENSMUSG00000101747	Gm21683	46.46
ENSMUSG00000101748	Gm21823	45.11
ENSMUSG00000101750	Olfr1392	41.76
ENSMUSG00000101751	Gm2427	43.09
ENSMUSG00000101752	Gm20887	45.69
ENSMUSG00000101753	Gm28799	40.21
ENSMUSG00000101754	Gm2987	43.0
ENSMUSG00000101755	Gm29507	44.6
ENSMUSG00000101756	Gm29402	52.5
ENSMUSG00000101757	Gm28273	45.32
ENSMUSG00000101758	Gm28137	40.59
ENSMUSG00000101759	Gm5734	46.0
ENSMUSG00000101760	Gm8384	45.52
ENSMUSG00000101761	Gm28297	41.29
ENSMUSG00000101762	1700047L14Rik	41.08
ENSMUSG00000101763	Gm29068	47.25
ENSMUSG00000101764	4930556G22Rik	42.09
ENSMUSG00000101765	Gm21673	45.41
ENSMUSG00000101766	Gm20908	35.52
ENSMUSG00000101767		
ENSMUSG00000101768	Gm28694	44.97
ENSMUSG00000101769	Gm29356	45.58
ENSMUSG00000101770	Gm28718	45.28
ENSMUSG00000101771	Gm28176	40.65
ENSMUSG00000101772	Gm28829	45.2
ENSMUSG00000101773	2210420H20Rik	47.78
ENSMUSG00000101774	Gm29616	40.38
ENSMUSG00000101775	Gm28088	40.4
ENSMUSG00000101776	Gm28268	38.42
ENSMUSG00000101777	Gm9127	49.44
ENSMUSG00000101778	Gm29488	37.72
ENSMUSG00000101779	Gm28170	40.69
ENSMUSG00000101780	Gm7255	42.05
ENSMUSG00000101781	Gm28333	45.16
ENSMUSG00000101782	Gm28964	40.09
ENSMUSG00000101783	Gm28698	45.2
ENSMUSG00000101784	Gm7553	53.44
ENSMUSG00000101785	Gm28702	40.67
ENSMUSG00000101786	Gm28840	40.22
ENSMUSG00000101787	Gm20853	45.89
ENSMUSG00000101788	Gm20813	45.96
ENSMUSG00000101789	Gm28956	38.93
ENSMUSG00000101790	Gm29059	40.32
ENSMUSG00000101791	2210011K15Rik	53.88
ENSMUSG00000101792	Gm28447	48.56
ENSMUSG00000101793	Gm28500	42.38
ENSMUSG00000101794	Gm29217	40.36
ENSMUSG00000101795	Gm5835	48.98
ENSMUSG00000101796	1700020D14Rik	31.93
ENSMUSG00000101797	Gm29266	45.43
ENSMUSG00000101798	Gm28995	41.76
ENSMUSG00000101799	9330175M20Rik	40.7
ENSMUSG00000101800	Rnf170-ps	43.31
ENSMUSG00000101801	1700020G17Rik	42.47
ENSMUSG00000101802	Gm29445	40.61
ENSMUSG00000101803	Gm28419	56.63
ENSMUSG00000101804	Gm28813	39.93
ENSMUSG00000101805	Gm28768	47.09
ENSMUSG00000101806	Gm28261	45.04
ENSMUSG00000101807	Gm9120	50.4
ENSMUSG00000101808	Gm29654	45.37
ENSMUSG00000101809	Gm28852	45.28
ENSMUSG00000101810	1700066C05Rik	47.74
ENSMUSG00000101811	Gm28312	50.95
ENSMUSG00000101812	D530049I02Rik	39.98
ENSMUSG00000101813	Gm28503	46.94
ENSMUSG00000101814	Gm17807	53.02
ENSMUSG00000101815	Gm29028	45.38
ENSMUSG00000101816	Gm29659	43.53
ENSMUSG00000101817	Gm28288	42.52
ENSMUSG00000101818	Gm28269	38.66
ENSMUSG00000101819	H2al1b	52.53
ENSMUSG00000101820	Gm29023	35.63
ENSMUSG00000101821	Gm21308	45.11
ENSMUSG00000101822	Gm29396	50.61
ENSMUSG00000101823	Gm29438	43.21
ENSMUSG00000101824	Gm28256	46.04
ENSMUSG00000101825	Gm21806	45.69
ENSMUSG00000101826	Gm8581	47.98
ENSMUSG00000101827	Gm28686	51.4
ENSMUSG00000101828		
ENSMUSG00000101829	Gm21752	45.26
ENSMUSG00000101830	Gm20907	45.89
ENSMUSG00000101831	Gm29412	43.53
ENSMUSG00000101832	Gm28982	46.27
ENSMUSG00000101833	Gm20791	45.17
ENSMUSG00000101834	Gm5829	49.86
ENSMUSG00000101835	Gm21734	45.26
ENSMUSG00000101836	Gm28968	43.53
ENSMUSG00000101837	Gm20810	45.69
ENSMUSG00000101838	Gm18800	40.48
ENSMUSG00000101839	Gm28247	45.4
ENSMUSG00000101840	Gm28294	52.82
ENSMUSG00000101841	Gm11993	52.32
ENSMUSG00000101842	Gm28391	47.23
ENSMUSG00000101843	Gm28746	50.0
ENSMUSG00000101844	Gm20844	46.64
ENSMUSG00000101845	Gm28198	43.48
ENSMUSG00000101846	Gm19927	50.96
ENSMUSG00000101847	Gm20749	49.26
ENSMUSG00000101848	4933417E11Rik	42.56
ENSMUSG00000101849	Gm28386	55.81
ENSMUSG00000101850	Gm29437	43.82
ENSMUSG00000101851	Gm28474	40.32
ENSMUSG00000101852	Gm20886	45.31
ENSMUSG00000101853	Gm28627	43.59
ENSMUSG00000101854	1700026F02Rik	42.67
ENSMUSG00000101855	1700010N08Rik	41.41
ENSMUSG00000101856	1700096K18Rik	42.98
ENSMUSG00000101857	Gm21757	45.4
ENSMUSG00000101858	Gm28144	45.64
ENSMUSG00000101859	Gm29233	52.26
ENSMUSG00000101860	Mindy4b-ps	43.51
ENSMUSG00000101861	Gm29450	40.35
ENSMUSG00000101862	Gm8918	49.77
ENSMUSG00000101863	Gm29400	45.18
ENSMUSG00000101864	Gm21634	45.1
ENSMUSG00000101865	Gm9775	44.11
ENSMUSG00000101866	Gm28109	45.17
ENSMUSG00000101867	C78334	40.41
ENSMUSG00000101868	Gm28680	44.79
ENSMUSG00000101869	Gm29500	40.86
ENSMUSG00000101870	Gm21745	45.11
ENSMUSG00000101871	Gm28389	44.33
ENSMUSG00000101872	Gm29237	37.12
ENSMUSG00000101873	Gm28546	45.37
ENSMUSG00000101874	Olfr1391	39.86
ENSMUSG00000101875	Gm6028	47.91
ENSMUSG00000101877	Gm8176	46.59
ENSMUSG00000101878	Gm8203	53.75
ENSMUSG00000101879	Gm28820	40.27
ENSMUSG00000101880	Gm29282	46.66
ENSMUSG00000101881	Gm21076	45.11
ENSMUSG00000101882	Gm29545	43.66
ENSMUSG00000101883	Gm21840	45.4
ENSMUSG00000101884	Gm28658	45.37
ENSMUSG00000101885	Gm28235	43.82
ENSMUSG00000101886	Gm28324	53.41
ENSMUSG00000101887	Gm21654	45.15
ENSMUSG00000101888	1700025H01Rik	50.95
ENSMUSG00000101890	Gm53054	38.11
ENSMUSG00000101891	Gm29132	41.01
ENSMUSG00000101892	9130401M01Rik	49.15
ENSMUSG00000101893	Gm28839	45.19
ENSMUSG00000101894	1700016P04Rik	37.56
ENSMUSG00000101895	Gm28981	42.36
ENSMUSG00000101896	Gm6244	44.83
ENSMUSG00000101897	Gm29137	42.0
ENSMUSG00000101898	Gm28122	45.37
ENSMUSG00000101899	Gm29175	53.73
ENSMUSG00000101900	Mrgprb12-ps	41.31
ENSMUSG00000101901	Gm9230	52.82
ENSMUSG00000101902	Gm29115	45.37
ENSMUSG00000101903	Gm29291	43.81
ENSMUSG00000101904	Gm29427	43.42
ENSMUSG00000101905	4930439D14Rik	60.17
ENSMUSG00000101906	Mrgprc2-ps	45.18
ENSMUSG00000101907	Gm29472	45.22
ENSMUSG00000101908	Gm21642	45.83
ENSMUSG00000101909	Gm28724	39.33
ENSMUSG00000101910	Gm28691	40.49
ENSMUSG00000101911	Gm28381	51.3
ENSMUSG00000101912	1700052I22Rik	47.74
ENSMUSG00000101913	Gm28999	40.39
ENSMUSG00000101914	Gm21790	45.31
ENSMUSG00000101915	Gm28102	35.58
ENSMUSG00000101916	Gm18501	46.54
ENSMUSG00000101917	Gm29312	43.53
ENSMUSG00000101918	Olfr1225	31.73
ENSMUSG00000101919	Gm29664	43.2
ENSMUSG00000101920	Gm28454	40.08
ENSMUSG00000101921	Gm28825	47.9
ENSMUSG00000101922	Gm29345	40.44
ENSMUSG00000101923	Gm29041	46.58
ENSMUSG00000101925	Gm28156	43.45
ENSMUSG00000101926		
ENSMUSG00000101927	Gm28992	46.76
ENSMUSG00000101928	Gm20824	35.59
ENSMUSG00000101929	Gm28245	40.08
ENSMUSG00000101930	Gm5441	45.92
ENSMUSG00000101931	Gm28108	40.38
ENSMUSG00000101932	Gm10074	38.55
ENSMUSG00000101933	Gm20835	35.58
ENSMUSG00000101934	Gm18304	47.44
ENSMUSG00000101935	Gm17748	47.89
ENSMUSG00000101936	Gm28164	47.51
ENSMUSG00000101937	Gm5268	37.45
ENSMUSG00000101938	Gm29605	49.66
ENSMUSG00000101939	Gm28438	33.62
ENSMUSG00000101940	Akp-ps1	54.36
ENSMUSG00000101941	Gm28979	43.17
ENSMUSG00000101942	Gm19582	67.58
ENSMUSG00000101943	Gm28532	40.58
ENSMUSG00000101944	Mrgprc4-ps	45.44
ENSMUSG00000101945	Btf3-ps17	45.69
ENSMUSG00000101947	Gm29167	43.92
ENSMUSG00000101948	Gm4557	48.95
ENSMUSG00000101949	Gm5370	52.96
ENSMUSG00000101950	Gm29267	49.47
ENSMUSG00000101951	Gm28721	48.11
ENSMUSG00000101952	Gm10550	45.15
ENSMUSG00000101953	Gm29241	48.63
ENSMUSG00000101954	Gm28128	50.95
ENSMUSG00000101955	Tuba5-ps	46.61
ENSMUSG00000101956	Gm28574	43.78
ENSMUSG00000101957	Gm29576	44.4
ENSMUSG00000101958	Gm19085	41.74
ENSMUSG00000101959	Ldhal6b	50.45
ENSMUSG00000101960	Gm29311	40.65
ENSMUSG00000101961	Gm28220	40.11
ENSMUSG00000101962	Gm28741	40.21
ENSMUSG00000101963	1700001J11Rik	46.47
ENSMUSG00000101964	Gm28693	42.84
ENSMUSG00000101965	Gm29129	43.19
ENSMUSG00000101966	Gm5248	46.23
ENSMUSG00000101967	Gm29555	40.28
ENSMUSG00000101968	1700027A15Rik	43.89
ENSMUSG00000101969	Gm20125	37.73
ENSMUSG00000101970	Chaserr	35.92
ENSMUSG00000101971	Gm28246	45.4
ENSMUSG00000101972	H3c11	66.91
ENSMUSG00000101973	Gm29516	37.82
ENSMUSG00000101974	Gm28384	45.14
ENSMUSG00000101975	Scgb1b34-ps	44.2
ENSMUSG00000101976		
ENSMUSG00000101977	Gm28846	42.66
ENSMUSG00000101978	1700063O14Rik	46.08
ENSMUSG00000101980	Gm21922	45.87
ENSMUSG00000101981	Gm28157	45.42
ENSMUSG00000101982	Gm28990	40.28
ENSMUSG00000101983	Gm28976	57.64
ENSMUSG00000101984	Gm29436	40.01
ENSMUSG00000101985	Gm28929	47.02
ENSMUSG00000101986	Gm6198	50.32
ENSMUSG00000101987	Gm21268	45.26
ENSMUSG00000101988	Gm28484	40.38
ENSMUSG00000101989	Gm28346	45.38
ENSMUSG00000101990	Gm20856	45.69
ENSMUSG00000101991	Gm21724	45.11
ENSMUSG00000101992	Gm29249	44.97
ENSMUSG00000101993	Gm20987	50.95
ENSMUSG00000101994	Gm18875	47.17
